X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId,
-8800859.275,4287928.181,74905,CHPD,LOUD MUSIC/PARTY,410 PATTERSON PL W,CHAPEL HILL,NC,27516,2010/02/14 00:09:00+00,2010/02/14 00:09:00+00,2010/02/14 00:09:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.907698,-79.059464,46,
-8802067.648,4286839.453,74910,CHPD,LOUD MUSIC,1105 HWY 54 BYPASS,CHAPEL HILL,NC,27514,2010/02/14 13:23:00+00,2010/02/14 13:22:00+00,2010/02/14 13:23:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,21,W,F,35.899776,-79.070319,65,
-8795258.903,4293373.592,74838,CHPD,LOUD NOISE,109 PINEGATE CIR,CHAPEL HILL,NC,27514,2010/02/06 07:42:00+00,2010/02/06 06:00:00+00,2010/02/06 06:00:00+00,<Null>,HOME OF VICTIM - OTHER DWELLING,N,<Null>,55,W,M,35.947309,-79.009155,85,
-8799560.622,4295742.814,74919,CHPD,LOUD MUSIC/PARTY,106 SCHULTZ ST,CHAPEL HILL,NC,27514,2010/02/14 19:54:00+00,2010/02/14 02:00:00+00,2010/02/14 04:00:00+00,<Null>,HOME OF VICTIM - SINGLE FAMILY,N,<Null>,71,W,M,35.964537,-79.047798,100,
-8800428.691,4288996.537,74507,CHPD,LOUD MUSIC/PARTY,116 NORTH ST,CHAPEL HILL,NC,27514,2010/01/21 23:55:00+00,2010/01/21 23:54:00+00,2010/01/21 23:55:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.915471,-79.055596,113,
-8795257.789,4293403.018,75009,CHPD,LOUD MUSIC/PARTY/OTHER NOISE,109 PINEGATE CIR,CHAPEL HILL,NC,27514,2010/02/19 18:32:00+00,2010/02/19 18:32:00+00,2010/02/19 18:32:00+00,<Null>,OTHER RESIDENCE - OTHER DWELLING,N,<Null>,55,W,M,35.947523,-79.009145,162,
-8800048.312,4286476.247,75030,CHPD,LOUD MUSIC/PARTY,125 PUREFOY ROAD,CHAPEL HILL,NC,27516,2010/02/21 00:22:00+00,2010/02/21 00:21:00+00,2010/02/21 00:22:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.897133,-79.052179,186,
-8800378.82,4292000.95,75032,CHPD,LOUD MUSIC,100 MISTY WOODS CIR,CHAPEL HILL,NC,27514,2010/02/21 05:14:00+00,2010/02/21 05:13:00+00,2010/02/21 05:14:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.937326,-79.055148,189,
-8801292.53,4289558.59,75034,CHPD,LOUD NOISE,751 TRINITY CT,CHAPEL HILL,NC,27516,2010/02/21 12:06:00+00,2010/02/21 12:06:00+00,2010/02/21 12:06:00+00,<Null>,OTHER RESIDENCE - OTHER DWELLING,<Null>,<Null>,21,B,F,35.91956,-79.063356,190,
-8801244.106,4288514.231,74636,CHPD,LOUD MUSIC/PARTY,400 WEST ROSEMARY ST,CHAPEL HILL,NC,27514,2010/01/28 23:47:00+00,2010/01/28 23:46:00+00,2010/01/28 23:47:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.911962,-79.062921,221,
-8797608.746,4290658.725,74631,CHPD,LOUD MUSIC,130 S ESTES DR,CHAPEL HILL,NC,27514,2010/01/29 00:19:00+00,2010/01/29 00:18:00+00,2010/01/29 00:19:00+00,<Null>,OTHER RESIDENCE - SINGLE FAMILY DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.927563,-79.030264,222,
-8798345.235,4289530.823,74547,CHPD,LOUD MUSIC/PARTY,41 DAVIE CIR,CHAPEL HILL,NC,27514,2010/01/23 23:47:00+00,2010/01/23 23:46:00+00,2010/01/23 23:47:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.919358,-79.03688,262,
-8800102.748,4292760.329,74724,CHPD,LOUD MUSIC,108 MENDEL DR,CHAPEL HILL,NC,27514,2010/02/03 23:25:00+00,2010/02/03 23:20:00+00,2010/02/03 23:21:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,53,W,M,35.942849,-79.052668,288,
-8800526.986,4289327.387,74869,CHPD,LOUD MUSIC/PARTY,601 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27516,2010/02/12 00:27:00+00,2010/02/12 00:26:00+00,2010/02/12 00:27:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.917878,-79.056479,312,
-8798454.774,4289465.943,74683,CHPD,LOUD MUSIC/PARTY,64 DAVIE CIR,CHAPEL HILL,NC,27514,2010/02/02 00:17:00+00,2010/02/02 00:16:00+00,2010/02/02 00:17:00+00,<Null>,OTHER RESIDENCE - SINGLE FAMILY DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.918886,-79.037864,325,
-8794125.782,4293106.282,74686,CHPD,LOUD MUSIC/PARTY,5639 OLD CHAPEL HILL RD,CHAPEL HILL,NC,27707,2010/02/02 01:16:00+00,2010/02/02 01:15:00+00,2010/02/02 01:16:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.945365,-78.998976,327,
-8800409.655,4288663.498,74851,CHPD,LOUD MUSIC FROM VEHICLE,100  EAST FRANKLIN ST,CHAPEL HILL,NC,27514,2010/02/10 23:10:00+00,2010/02/10 23:09:00+00,2010/02/10 23:10:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913048,-79.055425,364,
-8797608.746,4290658.725,74782,CHPD,LOUD MUSIC/PARTY,130 S ESTES DR,CHAPEL HILL,NC,27514,2010/02/07 02:15:00+00,2010/02/07 02:00:00+00,2010/02/07 02:15:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,21,W,F,35.927563,-79.030264,428,
-8800499.824,4289604.501,75074,CHPD,LOUD MUSIC/PARTY,621 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27516,2010/02/23 22:03:00+00,2010/02/23 22:03:00+00,2010/02/23 22:03:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.919894,-79.056235,443,
-8800352.326,4290286.731,75079,CHPD,LOUD MUSIC,117 GREENE ST,CHAPEL HILL,NC,27514,2010/02/24 12:31:00+00,2010/02/24 12:30:00+00,2010/02/24 12:31:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,U,M,35.924857,-79.05491,499,
-8799846.601,4288968.497,74633,CHPD,LOUD MUSIC/PARTY,303 E FRANKLIN ST,CHAPEL HILL,NC,27514,2010/01/29 02:29:00+00,2010/01/29 02:28:00+00,2010/01/29 02:29:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.915267,-79.050367,620,
-8800212.286,4289143.061,74638,CHPD,LOUD MUSIC/PARTY,209 NORTH ST,CHAPEL HILL,NC,27514,2010/01/29 03:19:00+00,2010/01/29 03:18:00+00,2010/01/29 03:19:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.916537,-79.053652,636,
-8800355.443,4291041.179,74548,CHPD,LOUD MUSIC/PARTY,881 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27516,2010/01/24 00:36:00+00,2010/01/24 00:36:00+00,2010/01/24 00:36:00+00,<Null>,OTHER RESIDENCE - OTHER DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.930345,-79.054938,643,
-8800705.431,4288142.173,74566,CHPD,LOUD MUSIC/PARTY,321 W CAMERON AVE,CHAPEL HILL,NC,27516,2010/01/25 00:28:00+00,2010/01/25 00:27:00+00,2010/01/25 00:28:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.909255,-79.058082,677,
-8796574.588,4291570.617,74362,CHPD,LOUD MUSIC/PARTY,1250 EPHESUS CHURCH RD,CHAPEL HILL,NC,27517,2010/01/13 22:26:00+00,2010/01/13 22:25:00+00,2010/01/13 22:26:00+00,<Null>,OTHER RESIDENCE - SINGLE FAMILY DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.934196,-79.020974,845,
-8795403.395,4293403.706,74424,CHPD,LOUD MUSIC/PARTY,303 PINEGATE CIR,CHAPEL HILL,NC,27514,2010/01/16 23:46:00+00,2010/01/16 23:45:00+00,2010/01/16 23:46:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.947528,-79.010453,960,
-8801102.619,4293401.918,74423,CHPD,LOUD MUSIC/PARTY,1423 LEGACY TER,CHAPEL HILL,NC,27514,2010/01/16 23:51:00+00,2010/01/16 23:50:00+00,2010/01/16 23:51:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.947515,-79.06165,966,
-8801094.604,4293380.33,74429,CHPD,LOUD MUSIC/PARTY/OTHER NOISE,1433 LEGACY TERR,CHAPEL HILL,NC,27517,2010/01/17 00:00:00+00,2010/01/17 00:00:00+00,2010/01/17 00:00:00+00,<Null>,HOME OF VICTIM - OTHER DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.947358,-79.061578,973,
-8799940.332,4290378.697,74425,CHPD,LOUD MUSIC/PARTY,700 BOLINWOOD DR,CHAPEL HILL,NC,27514,2010/01/17 00:35:00+00,2010/01/17 00:34:00+00,2010/01/17 00:35:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.925526,-79.051209,975,
-8797815.689,4291312.288,74426,CHPD,LOUD MUSIC/PARTY,1521 E FRANKLIN ST,CHAPEL HILL,NC,27514,2010/01/17 01:37:00+00,2010/01/17 01:36:00+00,2010/01/17 01:37:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.932317,-79.032123,981,
