X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId
-8800264.272,4290314.225,74314,CHPD,OPEN CONTAINER,HILLSBOROUGH@MLK JR BLVD,CHAPEL HILL,NC,27516,2010/01/11 02:31:00+00,2010/01/11 02:30:00+00,2010/01/11 02:31:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.925057,-79.054119,813
-8801747.382,4289051.518,75903,CHPD,ALCOHOL VIOLATIONS/OPEN CONTAINER,GOMAINS AVE/BYNUM STREET,CHAPEL HILL,NC,27514,2010/04/01 22:16:00+00,2010/04/01 22:16:00+00,2010/04/01 22:16:00+00,<Null>,SERVICE/GAS STATION,<Null>,<Null>,<Null>,<Null>,<Null>,35.915871,-79.067442,1184
-8800491.253,4288683.977,76196,CHPD,OPEN CONTAINER,102  W. FRANKLIN ST,CHAPEL HILL,NC,27517,2010/04/15 22:46:00+00,2010/04/15 22:45:00+00,2010/04/15 22:46:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913197,-79.056158,2943
-8800409.655,4288663.498,77362,CHPD,OPEN CONTAINER,100  E FRANKLIN ST,CHAPEL HILL,NC,27516,2010/06/11 19:04:00+00,2010/06/11 19:03:00+00,2010/06/11 19:04:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913048,-79.055425,3108
-8800458.525,4288672.569,77649,CHPD,OPEN CONTAINER,100 S COLUMBIA ST,CHAPEL HILL,NC,27516,2010/06/26 19:22:00+00,2010/06/26 19:21:00+00,2010/06/26 19:22:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913114,-79.055864,3126
-8800157.517,4288821.563,77361,CHPD,OPEN CONTAINER OF MALT BEVERAGE,173 E FRANKLIN ST,CHAPEL HILL,NC,27514,2010/06/11 22:55:00+00,2010/06/11 22:54:00+00,2010/06/11 22:55:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914198,-79.05316,3292
-8800322.715,4288761.498,77366,CHPD,OPEN CONTAINER,135 EAST FRANKLIN ST,CHAPEL HILL,NC,27516,2010/06/12 01:30:00+00,2010/06/12 01:29:00+00,2010/06/12 01:30:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913761,-79.054644,3497
-8799723.705,4289024.852,77823,CHPD,OPEN CONTAINER,313 E FRANKLIN ST/RALEIGH ST,CHAPEL HILL,NC,27514,2010/07/05 21:15:00+00,2010/07/05 21:15:00+00,2010/07/05 21:15:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.915677,-79.049263,3845
-8800253.919,4288767.408,78378,CHPD,OPEN CONTAINER OF MALT BEVERAGE,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2010/08/03 16:37:00+00,2010/08/03 16:34:00+00,2010/08/03 16:37:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913804,-79.054026,4511
-8800253.919,4288767.408,79521,CHPD,OPEN CONTAINER OF MALT BEVERAGE,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2010/09/28 15:07:00+00,2010/09/28 15:06:00+00,2010/09/28 15:07:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913804,-79.054026,5153
-8800278.744,4288763.972,79422,CHPD,OPEN CONTAINER OF MALT BEVERAGE,145 E FRANKLIN ST,CHAPEL HILL,NC,27514,2010/09/23 20:44:00+00,2010/09/23 20:43:00+00,2010/09/23 20:44:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913779,-79.054249,5244
-8801028.926,4296322.272,80162,CHPD,OPEN CONTAINER,7699 NC 86 S/EUBANKS RD,CHAPEL HILL,NC,27516,2010/10/30 00:01:00+00,2010/10/30 00:01:00+00,2010/10/30 00:01:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.96875,-79.060988,5484
-8800580.642,4288675.593,79399,CHPD,OPEN CONTAINER OF MALT BEVERAGE,120 WEST FRANKLIN ST,CHAPEL HILL,NC,27516,2010/09/22 17:38:00+00,2010/09/22 17:37:00+00,2010/09/22 17:38:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913136,-79.056961,5858
-8800333.179,4288738.132,80949,CHPD,OPEN CONTAINER,131 E FRANKLIN ST,CHAPEL HILL,NC,27514,2010/12/10 19:45:00+00,2010/12/10 19:44:00+00,2010/12/10 19:45:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913591,-79.054738,6254
-8797245.288,4291861.261,80932,CHPD,TRANSPORT OPEN CONTAINER,1800 E FRANKLIN ST,CHAPEL HILL,NC,27514,2010/12/11 02:46:00+00,2010/12/11 02:46:00+00,2010/12/11 02:46:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.93631,-79.026999,6385
-8800506.169,4288803.694,82266,CHPD,OPEN CONTAINER OF MALT BEVERAGE,COLUMBIA ST @ ROSEMARY ST,CHAPEL HILL,NC,27514,2011/02/19 17:50:00+00,2011/02/19 17:49:00+00,2011/02/19 17:50:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914068,-79.056292,7060
-8800819.868,4295957.374,81269,CHPD,ALCOHOL VIOLATIONS OPEN CONTAINER,MARTIN LUTHER KING BLVD @ PERKINS DR,CHAPEL HILL,NC,27516,2010/12/30 15:07:00+00,2010/12/30 15:07:00+00,2010/12/30 15:07:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.966097,-79.05911,7444
-8800441.493,4288789.812,82254,CHPD,OPEN CONTAINER OF MALT BEVERAGE,100 E ROSEMARY ST,CHAPEL HILL,NC,27516,2011/02/18 18:02:00+00,2011/02/18 18:01:00+00,2011/02/18 18:02:00+00,<Null>,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,<Null>,<Null>,<Null>,<Null>,35.913967,-79.055711,7779
-8800253.919,4288767.408,82763,CHPD,OPEN CONTAINER,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/03/15 16:38:00+00,2011/03/15 16:37:00+00,2011/03/15 16:38:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913804,-79.054026,8232
-8800131.468,4288833.933,82840,CHPD,OPEN CONTAINER OF BEER,179 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/03/19 23:40:00+00,2011/03/19 23:39:00+00,2011/03/19 23:40:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914288,-79.052926,8474
-8800769.329,4288597.248,84226,CHPD,OPEN CONTAINER OF MALT BEVERAGE,200  W FRANKLIN ST,CHAPEL HILL,NC,27514,2011/05/31 12:46:00+00,2011/05/31 12:46:00+00,2011/05/31 12:46:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.912566,-79.058656,9167
-8800929.963,4288452.381,84275,CHPD,OPEN CONTAINER OF MALT BEVERAGE,310 W FRANKLIN ST,CHAPEL HILL,NC,27516,2011/06/02 23:19:00+00,2011/06/02 23:18:00+00,2011/06/02 23:19:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911512,-79.060099,9190
-8800191.358,4288691.812,83707,CHPD,OPEN CONTAINER,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/05/03 20:55:00+00,2011/05/03 20:55:00+00,2011/05/03 20:55:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913254,-79.053464,9490
-8801025.698,4288406.337,83294,CHPD,OPEN CONTAINER,410 W FRANKLIN ST,CHAPEL HILL,NC,27516,2011/04/11 09:45:00+00,2011/04/11 09:45:00+00,2011/04/11 09:45:00+00,<Null>,BEHIND BUILDING/ALLEY,<Null>,<Null>,<Null>,<Null>,<Null>,35.911177,-79.060959,9499
